request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
s=WA&y=2016&c-t-id=208709,c-t-id,208709,"MURRAY, PATTY",c-t-eid,18930579,"MURRAY, PATTY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,14971,"US SENATE DISTRICT WA SW-CLASS III",c-t-ico,I,Incumbent,20495,12813656.43
s=WA&y=2016&c-t-id=209223,c-t-id,209223,"INSLEE, JAY ROBERT",c-t-eid,2912405,"INSLEE, JAY ROBERT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9400,GOVERNOR,c-t-ico,I,Incumbent,34769,9736277.53
s=WA&y=2016&c-t-id=209218,c-t-id,209218,"BRYANT II, WILLIAM LEE (BILL)",c-t-eid,2357498,"BRYANT II, WILLIAM LEE (BILL)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,9400,GOVERNOR,c-t-ico,C,Challenger,9513,3905582.18
s=WA&y=2016&c-t-id=209361,c-t-id,209361,"MCMORRIS RODGERS, CATHY",c-t-eid,2941046,"MCMORRIS RODGERS, CATHY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15392,"US HOUSE DISTRICT WA 005",c-t-ico,I,Incumbent,2555,3285079.00
s=WA&y=2016&c-t-id=209338,c-t-id,209338,"JAYAPAL, PRAMILA",c-t-eid,2644458,"JAYAPAL, PRAMILA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15394,"US HOUSE DISTRICT WA 007",c-t-ico,O,Open,4345,2987333.33
s=WA&y=2016&c-t-id=209341,c-t-id,209341,"KILMER, DEREK C",c-t-eid,1230035,"KILMER, DEREK C",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15393,"US HOUSE DISTRICT WA 006",c-t-ico,O,Open,2153,2141043.76
s=WA&y=2016&c-t-id=209329,c-t-id,209329,"DELBENE, SUZAN K",c-t-eid,2610675,"DELBENE, SUZAN K",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15388,"US HOUSE DISTRICT WA 001",c-t-ico,I,Incumbent,4340,2057562.05
s=WA&y=2016&c-t-id=209371,c-t-id,209371,"WALKINSHAW, BRADY",c-t-eid,2683738,"WALKINSHAW, BRADY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15394,"US HOUSE DISTRICT WA 007",c-t-ico,O,Open,3750,1915657.54
s=WA&y=2016&c-t-id=209359,c-t-id,209359,"REICHERT, DAVE",c-t-eid,3576336,"REICHERT, DAVE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15395,"US HOUSE DISTRICT WA 008",c-t-ico,I,Incumbent,1557,1655867.43
s=WA&y=2016&c-t-id=209333,c-t-id,209333,"HECK, DENNIS R (DENNY)",c-t-eid,2606434,"HECK, DENNIS R (DENNY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WA,WA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15397,"US HOUSE DISTRICT WA 010",c-t-ico,I,Incumbent,1717,1544197.23
