request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=L&s=CA,s,CA,CA,533106,480891241.10
f-fc=1&c-exi=1&c-r-ot=L&s=NY,s,NY,NY,315122,308687233.84
f-fc=1&c-exi=1&c-r-ot=L&s=FL,s,FL,FL,348861,280427329.36
f-fc=1&c-exi=1&c-r-ot=L&s=TX,s,TX,TX,194162,229717898.00
f-fc=1&c-exi=1&c-r-ot=L&s=IL,s,IL,IL,283258,196922454.06
f-fc=1&c-exi=1&c-r-ot=L&s=OH,s,OH,OH,181720,188150454.46
f-fc=1&c-exi=1&c-r-ot=L&s=PA,s,PA,PA,185127,166147353.96
f-fc=1&c-exi=1&c-r-ot=L&s=MI,s,MI,MI,140224,129278087.26
f-fc=1&c-exi=1&c-r-ot=L&s=VA,s,VA,VA,139507,122958434.85
f-fc=1&c-exi=1&c-r-ot=L&s=MN,s,MN,MN,182323,119057342.31
f-fc=1&c-exi=1&c-r-ot=L&s=AZ,s,AZ,AZ,146136,108147130.06
f-fc=1&c-exi=1&c-r-ot=L&s=GA,s,GA,GA,108283,99662582.22
f-fc=1&c-exi=1&c-r-ot=L&s=NJ,s,NJ,NJ,97246,96262937.40
f-fc=1&c-exi=1&c-r-ot=L&s=WI,s,WI,WI,243793,95235559.91
f-fc=1&c-exi=1&c-r-ot=L&s=NC,s,NC,NC,98563,92700576.96
f-fc=1&c-exi=1&c-r-ot=L&s=MD,s,MD,MD,73841,87347231.74
f-fc=1&c-exi=1&c-r-ot=L&s=WA,s,WA,WA,92823,86079518.18
f-fc=1&c-exi=1&c-r-ot=L&s=MA,s,MA,MA,104172,83414308.95
f-fc=1&c-exi=1&c-r-ot=L&s=CO,s,CO,CO,114039,78918346.84
f-fc=1&c-exi=1&c-r-ot=L&s=IN,s,IN,IN,77192,73311338.47
f-fc=1&c-exi=1&c-r-ot=L&s=TN,s,TN,TN,57592,70417491.15
f-fc=1&c-exi=1&c-r-ot=L&s=CT,s,CT,CT,63088,62381849.38
f-fc=1&c-exi=1&c-r-ot=L&s=IA,s,IA,IA,105198,60312321.30
f-fc=1&c-exi=1&c-r-ot=L&s=SC,s,SC,SC,56835,60255683.87
f-fc=1&c-exi=1&c-r-ot=L&s=LA,s,LA,LA,51149,60163697.34
f-fc=1&c-exi=1&c-r-ot=L&s=MO,s,MO,MO,61961,56509488.57
f-fc=1&c-exi=1&c-r-ot=L&s=AL,s,AL,AL,42787,46746765.76
f-fc=1&c-exi=1&c-r-ot=L&s=KS,s,KS,KS,45807,44896082.65
f-fc=1&c-exi=1&c-r-ot=L&s=OR,s,OR,OR,46445,44524400.16
f-fc=1&c-exi=1&c-r-ot=L&s=NV,s,NV,NV,43191,42241225.10
f-fc=1&c-exi=1&c-r-ot=L&s=KY,s,KY,KY,39656,42115136.29
f-fc=1&c-exi=1&c-r-ot=L&s=AR,s,AR,AR,39377,35961333.75
f-fc=1&c-exi=1&c-r-ot=L&s=NH,s,NH,NH,48407,35203277.01
f-fc=1&c-exi=1&c-r-ot=L&s=OK,s,OK,OK,33030,35021569.51
f-fc=1&c-exi=1&c-r-ot=L&s=WV,s,WV,WV,30166,31296309.08
f-fc=1&c-exi=1&c-r-ot=L&s=UT,s,UT,UT,45551,30846779.02
f-fc=1&c-exi=1&c-r-ot=L&s=NM,s,NM,NM,37529,29722831.19
f-fc=1&c-exi=1&c-r-ot=L&s=MT,s,MT,MT,56535,27935054.22
f-fc=1&c-exi=1&c-r-ot=L&s=MS,s,MS,MS,20623,25749415.99
f-fc=1&c-exi=1&c-r-ot=L&s=NE,s,NE,NE,26831,21851152.87
f-fc=1&c-exi=1&c-r-ot=L&s=HI,s,HI,HI,22187,20097240.27
f-fc=1&c-exi=1&c-r-ot=L&s=ME,s,ME,ME,27195,18631490.47
f-fc=1&c-exi=1&c-r-ot=L&s=RI,s,RI,RI,19590,17058052.74
f-fc=1&c-exi=1&c-r-ot=L&s=SD,s,SD,SD,20435,14365092.06
f-fc=1&c-exi=1&c-r-ot=L&s=ID,s,ID,ID,15505,13364741.41
f-fc=1&c-exi=1&c-r-ot=L&s=ND,s,ND,ND,12650,11904446.42
f-fc=1&c-exi=1&c-r-ot=L&s=DE,s,DE,DE,11460,11198021.91
f-fc=1&c-exi=1&c-r-ot=L&s=AK,s,AK,AK,7185,5579117.78
f-fc=1&c-exi=1&c-r-ot=L&s=WY,s,WY,WY,3915,4605991.60
f-fc=1&c-exi=1&c-r-ot=L&s=VT,s,VT,VT,10532,4457775.52
