request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142379&c-t-p=1,c-t-id,142379,"OBAMA, BARACK HUSSEIN & BIDEN, JOE",c-t-eid,"3172987,17659045","OBAMA, BARACK HUSSEIN & BIDEN, JOE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,I,Incumbent,2867640,818383035.21
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191989&c-t-p=1,c-t-id,191989,"CLINTON, HILLARY RODHAM & KAINE, TIMOTHY M (TIM)",c-t-eid,"16563536,5743146","CLINTON, HILLARY RODHAM & KAINE, TIMOTHY M (TIM)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,2856763,568135094.44
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142378&c-t-p=2,c-t-id,142378,"ROMNEY, WILLARD MITT & RYAN, PAUL D",c-t-eid,"43351,7432657","ROMNEY, WILLARD MITT & RYAN, PAUL D",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,556310,507624698.22
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191993&c-t-p=2,c-t-id,191993,"TRUMP, DONALD J & PENCE, MICHAEL R (MIKE)",c-t-eid,"4764641,10245969","TRUMP, DONALD J & PENCE, MICHAEL R (MIKE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,312921,366873742.79
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191991&c-t-p=1,c-t-id,191991,"SANDERS, BERNARD (BERNIE)",c-t-eid,9960190,"SANDERS, BERNARD (BERNIE)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,2011001,258562022.17
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191998&c-t-p=2,c-t-id,191998,"CRUZ, RAFAEL EDWARD (TED)",c-t-eid,210204,"CRUZ, RAFAEL EDWARD (TED)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,554039,93430700.29
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191997&c-t-p=2,c-t-id,191997,"CARSON, BENJAMIN S (BEN)",c-t-eid,4667540,"CARSON, BENJAMIN S (BEN)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,247678,62202411.13
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=142389&c-t-p=3,c-t-id,142389,"PAUL, RONALD D",c-t-eid,4749506,"PAUL, RONALD D",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,177,WRITEIN,c-t-p,3,Third-Party,s,US,US,y,2012,2012,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,C,Challenger,151638,52602017.61
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191999&c-t-p=2,c-t-id,191999,"RUBIO, MARCO ANTONIO",c-t-eid,12999040,"RUBIO, MARCO ANTONIO",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,108130,44384313.90
f-fc=1&c-exi=1&c-r-ot=P&c-t-id=191994&c-t-p=2,c-t-id,191994,"BUSH, JOHN ELLIS (JEB)",c-t-eid,888084,"BUSH, JOHN ELLIS (JEB)",c-t-ftsts,Lost-Convention,Lost-Convention,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,US,US,y,2016,2016,c-r-t,1,Standard,c-r-osid,14923,"PRESIDENT / VICE PRESIDENT",c-t-ico,O,Open,29642,34606731.78
