request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142172,c-t-id,142172,"MCMAHON, LINDA E",c-t-eid,11623579,"MCMAHON, LINDA E",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CT,CT,y,2012,2012,c-r-t,1,Standard,c-r-osid,15416,"US SENATE DISTRICT CT SW-CLASS I",c-t-ico,O,Open,1417,80122596.41
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=160991,c-t-id,160991,"MCMAHON, LINDA E",c-t-eid,11623579,"MCMAHON, LINDA E",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CT,CT,y,2010,2010,c-r-t,1,Standard,c-r-osid,14931,"US SENATE DISTRICT CT SW-CLASS III",c-t-ico,O,Open,2078,50210591.79
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142178,c-t-id,142178,"BROWN, SCOTT P",c-t-eid,112965,"BROWN, SCOTT P",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MA,MA,y,2012,2012,c-r-t,1,Standard,c-r-osid,14943,"US SENATE DISTRICT MA SW-CLASS I",c-t-ico,I,Incumbent,71129,46171673.70
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142317,c-t-id,142317,"DEWHURST III, DAVID H",c-t-eid,1743939,"DEWHURST III, DAVID H",c-t-ftsts,"Lost-Primary Runoff","Lost-Primary Runoff",c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2012,2012,c-r-t,1,Standard,c-r-osid,14967,"US SENATE DISTRICT TX SW-CLASS I",c-t-ico,O,Open,9023,44702832.80
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142240,c-t-id,142240,"WARREN, ELIZABETH A",c-t-eid,1789719,"WARREN, ELIZABETH A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MA,MA,y,2012,2012,c-r-t,1,Standard,c-r-osid,14943,"US SENATE DISTRICT MA SW-CLASS I",c-t-ico,C,Challenger,111339,43046560.54
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=163309,c-t-id,163309,"MCCONNELL JR, ADDISON MITCHELL (MITCH)",c-t-eid,9284790,"MCCONNELL JR, ADDISON MITCHELL (MITCH)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,KY,KY,y,2014,2014,c-r-t,1,Standard,c-r-osid,15426,"US SENATE DISTRICT KY SW-CLASS II",c-t-ico,I,Incumbent,21859,30269717.60
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=160183,c-t-id,160183,"BOXER, BARBARA",c-t-eid,2545581,"BOXER, BARBARA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2010,2010,c-r-t,1,Standard,c-r-osid,14929,"US SENATE DISTRICT CA SW-CLASS III",c-t-ico,I,Incumbent,58402,28187906.89
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=160701,c-t-id,160701,"ANGLE, SHARRON E",c-t-eid,6596650,"ANGLE, SHARRON E",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NV,NV,y,2010,2010,c-r-t,1,Standard,c-r-osid,14957,"US SENATE DISTRICT NV SW-CLASS III",c-t-ico,C,Challenger,53087,27931735.90
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=197895,c-t-id,197895,"TOOMEY, PATRICK JOSEPH",c-t-eid,4944091,"TOOMEY, PATRICK JOSEPH",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2016,2016,c-r-t,1,Standard,c-r-osid,14962,"US SENATE DISTRICT PA SW-CLASS III",c-t-ico,I,Incumbent,43449,27415620.84
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142298,c-t-id,142298,"MANDEL, JOSH",c-t-eid,13004561,"MANDEL, JOSH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2012,2012,c-r-t,1,Standard,c-r-osid,15444,"US SENATE DISTRICT OH SW-CLASS I",c-t-ico,C,Challenger,24292,25894039.16
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=142353,c-t-id,142353,"BROWN, SHERROD",c-t-eid,3439679,"BROWN, SHERROD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,OH,OH,y,2012,2012,c-r-t,1,Standard,c-r-osid,15444,"US SENATE DISTRICT OH SW-CLASS I",c-t-ico,I,Incumbent,65040,25090735.57
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=178335,c-t-id,178335,"FRANKEN, ALAN",c-t-eid,1646379,"FRANKEN, ALAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,38,DEMOCRATIC-FARMER-LABOR,c-t-p,1,Democratic,s,MN,MN,y,2014,2014,c-r-t,1,Standard,c-r-osid,15432,"US SENATE DISTRICT MN SW-CLASS II",c-t-ico,I,Incumbent,102740,24828188.87
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=194032,c-t-id,194032,"PORTMAN, ROBERT J (ROB)",c-t-eid,3094681,"PORTMAN, ROBERT J (ROB)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,OH,OH,y,2016,2016,c-r-t,1,Standard,c-r-osid,14959,"US SENATE DISTRICT OH SW-CLASS III",c-t-ico,I,Incumbent,20430,24670873.37
f-fc=1&c-exi=1&c-r-ot=U&c-t-id=160118,c-t-id,160118,"REID, HARRY",c-t-eid,18930590,"REID, HARRY",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NV,NV,y,2010,2010,c-r-t,1,Standard,c-r-osid,14957,"US SENATE DISTRICT NV SW-CLASS III",c-t-ico,I,Incumbent,18655,24466767.46
