"Candidate.id","Candidate","Election_Status","Status_of_Candidate","Specific_Party","General_Party","Office_Sought","Num_of_Records","Total_dollar"
208709,"MURRAY, PATTY","Won-General","Won","DEMOCRATIC","Democratic","US SENATE DISTRICT WA SW-CLASS III",20495,12813656.43
209223,"INSLEE, JAY ROBERT","Won-General","Won","DEMOCRATIC","Democratic","GOVERNOR",34769,9736277.53
209218,"BRYANT II, WILLIAM LEE (BILL)","Lost-General","Lost","REPUBLICAN","Republican","GOVERNOR",9513,3905582.18
209361,"MCMORRIS RODGERS, CATHY","Won-General","Won","REPUBLICAN","Republican","US HOUSE DISTRICT WA 005",2555,3285079
209338,"JAYAPAL, PRAMILA","Won-General","Won","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 007",4345,2987333.33
209341,"KILMER, DEREK C","Won-General","Won","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 006",2153,2141043.76
209329,"DELBENE, SUZAN K","Won-General","Won","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 001",4340,2057562.05
209371,"WALKINSHAW, BRADY","Lost-General","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 007",3750,1915657.54
209359,"REICHERT, DAVE","Won-General","Won","REPUBLICAN","Republican","US HOUSE DISTRICT WA 008",1557,1655867.43
209333,"HECK, DENNIS R (DENNY)","Won-General","Won","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 010",1717,1544197.23
209203,"FERGUSON, ROBERT WATSON","Won-General","Won","DEMOCRATIC","Democratic","ATTORNEY GENERAL",4901,1384553.43
209323,"HERRERA, JAIME LYNN","Won-General","Won","REPUBLICAN","Republican","US HOUSE DISTRICT WA 003",1761,1384362.08
209352,"NEWHOUSE, DANIEL M","Won-General","Won","REPUBLICAN","Republican","US HOUSE DISTRICT WA 004",1358,1290023.57
209236,"HABIB, K CYRUS","Won-General","Won","DEMOCRATIC","Democratic","LIEUTENANT GOVERNOR",2440,1036816.22
209343,"LARSEN, RICK","Won-General","Won","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 002",757,959856.66
209242,"PODLODOWSKI, TINA","Lost-General","Lost","DEMOCRATIC","Democratic","SECRETARY OF STATE",2778,923388.58
209363,"SMITH, ADAM","Won-General","Won","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 009",642,918503.93
209244,"WYMAN, KIMBERLEY M (KIM)","Won-General","Won","REPUBLICAN","Republican","SECRETARY OF STATE",4077,860403
209266,"LITZOW, STEPHEN R","Lost-General","Lost","REPUBLICAN","Republican","SENATE DISTRICT 041",1160,798129.11
209295,"WILSON, LYNDA D","Won-General","Won","REPUBLICAN","Republican","SENATE DISTRICT 017",922,769281.12
209211,"MCLAUGHLIN, STEVE","Lost-General","Lost","REPUBLICAN","Republican","COMMISSIONER OF PUBLIC LANDS",443,730429.72
209271,"MULLET, MARK D","Won-General","Won","DEMOCRATIC","Democratic","SENATE DISTRICT 005",853,561914.91
209272,"OBAN, STEVEN T (STEVE)","Won-General","Won","REPUBLICAN","Republican","SENATE DISTRICT 028",1111,555196.77
209210,"FRANZ, HILARY","Won-General","Won","DEMOCRATIC","Democratic","COMMISSIONER OF PUBLIC LANDS",1429,530137.17
209267,"MAGENDANZ, CHAD L","Lost-General","Lost","REPUBLICAN","Republican","SENATE DISTRICT 005",602,497732.9
209294,"WELLMAN, LISA","Won-General","Won","DEMOCRATIC","Democratic","SENATE DISTRICT 041",997,487389.84
209281,"PROBST, TIMOTHY P (TIM)","Lost-General","Lost","INDEPENDENT DEMOCRATIC","Third-Party","SENATE DISTRICT 017",1141,480331.94
208843,"LOVICK, JOHN R (JOHNNY)","Won-General","Won","DEMOCRATIC","Democratic","HOUSE DISTRICT 044-POSITION 1",1022,476445.04
209246,"BAILEY, BARBARA F","Won-General","Won","REPUBLICAN","Republican","SENATE DISTRICT 010",876,474269.57
209347,"MCDERMOTT, JOE","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 007",847,469355.42
209237,"HOBBS, STEVEN R","Lost-Top Two Primary","Lost","DEMOCRATIC","Democratic","LIEUTENANT GOVERNOR",604,465526.47
209278,"PELOQUIN, MARISA","Lost-General","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 028",797,404680
209287,"SCHOESLER, MARK G","Won-General","Won","REPUBLICAN","Republican","SENATE DISTRICT 009",776,404110
208714,"VANCE, CHRIS","Lost-General","Lost","REPUBLICAN","Republican","US SENATE DISTRICT WA SW-CLASS III",467,396614.98
208824,"KILDUFF, CHRISTINE","Won-General","Won","DEMOCRATIC","Democratic","HOUSE DISTRICT 028-POSITION 2",736,356714.12
209355,"PAKOOTAS, JOE","Lost-General","Lost","DEMOCRATIC","Democratic","US HOUSE DISTRICT WA 005",761,338600.59
208877,"PELLICCIOTTI, MICHAEL (MIKE)","Won-General","Won","DEMOCRATIC","Democratic","HOUSE DISTRICT 030-POSITION 1",993,333610.25
209262,"HOMOLA, ANGELA (ANGIE)","Lost-General","Lost","DEMOCRATIC","Democratic","SENATE DISTRICT 010",1011,332517.04
