"Candidate","General_Party","Election_Year","Specific_Party","State","Amount"
"ALEXANDER, STEWART A","Third-Party",2012,"SOCIALIST PARTY USA","",977.01
"BARNETT, ANDRE & CROSS, KEN","Third-Party",2012,"REFORM","",20
"BARNETT, ANDRE & CROSS, KEN","Third-Party",2012,"REFORM","NY",1788.62
"BARR, ROSEANNE CHERRI & SHEEHAN, CINDY","Third-Party",2012,"PEACE & FREEDOM","",3508.18
"BARR, ROSEANNE CHERRI & SHEEHAN, CINDY","Third-Party",2012,"PEACE & FREEDOM","CA",28295.61
"BARR, ROSEANNE CHERRI & SHEEHAN, CINDY","Third-Party",2012,"PEACE & FREEDOM","GA",21500
"BARR, ROSEANNE CHERRI & SHEEHAN, CINDY","Third-Party",2012,"PEACE & FREEDOM","MN",250
"BARR, ROSEANNE CHERRI & SHEEHAN, CINDY","Third-Party",2012,"PEACE & FREEDOM","NY",3000
"FELLURE, JACK & DAVIS, TOBY","Third-Party",2012,"PROHIBITION","",1548.96
"FELLURE, JACK & DAVIS, TOBY","Third-Party",2012,"PROHIBITION","WV",234.85
"GARY, ROGER V","Third-Party",2012,"LIBERTARIAN","MA",2400
"GARY, ROGER V","Third-Party",2012,"LIBERTARIAN","TX",250
"GOODE JR, VIRGIL H & CLYMER, JIM","Third-Party",2012,"CONSTITUTION","",34971.54
"GOODE JR, VIRGIL H & CLYMER, JIM","Third-Party",2012,"CONSTITUTION","VA",166656
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","",7155
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","CA",1750
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","CO",500
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","FL",1000
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","GA",500
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","IL",1000
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","NH",250
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","NM",500
"HARRIS, R J","Third-Party",2012,"LIBERTARIAN","NY",833
