"Candidate","General_Party","Election_Year","Specific_Party","State","Amount"
"AALDERS, TIMOTHY NOEL","Republican",2012,"REPUBLICAN","",4215
"AALDERS, TIMOTHY NOEL","Republican",2012,"REPUBLICAN","UT",1950
"AALDERS, TIMOTHY NOEL","Republican",2012,"REPUBLICAN","VA",500
"ABELER, JIM","Republican",2014,"REPUBLICAN","",42128
"ABELER, JIM","Republican",2014,"REPUBLICAN","FL",6700
"ABELER, JIM","Republican",2014,"REPUBLICAN","IL",250
"ABELER, JIM","Republican",2014,"REPUBLICAN","LA",260
"ABELER, JIM","Republican",2014,"REPUBLICAN","MI",5200
"ABELER, JIM","Republican",2014,"REPUBLICAN","MN",107722
"ABELER, JIM","Republican",2014,"REPUBLICAN","PA",150
"ABELER, JIM","Republican",2014,"REPUBLICAN","SD",1000
"ABELER, JIM","Republican",2014,"REPUBLICAN","TN",250
"ABELER, JIM","Republican",2014,"REPUBLICAN","VA",500
"ABELER, JIM","Republican",2014,"REPUBLICAN","WI",100
"ABLES, WAYNE","Democratic",2014,"DEMOCRATIC","",12625.19
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","",19593.68
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","CA",30
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","FL",2825
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","NC",100
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","NJ",0
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","NY",250
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","SC",300
"ADAMS JR, TERRY G","Democratic",2014,"DEMOCRATIC","TN",130095.28
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","",25
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","AZ",75
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","CA",38000
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","CO",250
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","CT",3270
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","DC",2950
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","FL",300
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","ID",100
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","IL",5400
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","MA",2700
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","MD",1120
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","ME",51
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","MN",7700
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","MT",70179
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","NC",200
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","ND",1030
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","NE",50
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","NH",1250
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","NJ",1100
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","NM",200
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","NY",5500
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","OH",50
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","OK",50
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","PA",455
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","TX",6100
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","UT",300
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","VA",620
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","VT",200
"ADAMS, DIRK S","Democratic",2014,"DEMOCRATIC","WA",5425
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","",1270
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","CA",100
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","FL",25
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","GA",1350
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","IL",50
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","MO",50
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","MS",100
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","MT",100
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","NY",20.12
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","OK",20
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","SC",10
"ADDISON, GLENN","Republican",2012,"REPUBLICAN","TX",113683
"AGNEW, CHRISTIAN","Republican",2014,"REPUBLICAN","TN",200
"AHMAD, DEAN","Third-Party",2012,"LIBERTARIAN","",5095
"AHMAD, DEAN","Third-Party",2012,"LIBERTARIAN","MD",5600
"AHMAD, DEAN","Third-Party",2012,"LIBERTARIAN","PA",500
"AHMAD, DEAN","Third-Party",2012,"LIBERTARIAN","VA",5500
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","",18179
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","AZ",1000
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","CA",6710
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","CO",1000
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","CT",2000
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","FL",1000
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","MO",510
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","NJ",5900
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","NV",500
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","OH",510
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","PA",500
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","UT",1000
"AKERS, PAUL A","Republican",2010,"REPUBLICAN","WA",675037.88
"AKIN, W TODD","Republican",2012,"REPUBLICAN","",1783799
"AKIN, W TODD","Republican",2012,"REPUBLICAN","AE",25
"AKIN, W TODD","Republican",2012,"REPUBLICAN","AK",2725
"AKIN, W TODD","Republican",2012,"REPUBLICAN","AL",27307
"AKIN, W TODD","Republican",2012,"REPUBLICAN","AR",15575
"AKIN, W TODD","Republican",2012,"REPUBLICAN","AZ",44395
"AKIN, W TODD","Republican",2012,"REPUBLICAN","CA",97118
"AKIN, W TODD","Republican",2012,"REPUBLICAN","CO",36002
"AKIN, W TODD","Republican",2012,"REPUBLICAN","CT",8532
"AKIN, W TODD","Republican",2012,"REPUBLICAN","DC",129183
"AKIN, W TODD","Republican",2012,"REPUBLICAN","DE",675
"AKIN, W TODD","Republican",2012,"REPUBLICAN","FL",96691
"AKIN, W TODD","Republican",2012,"REPUBLICAN","GA",42215
"AKIN, W TODD","Republican",2012,"REPUBLICAN","HI",750
"AKIN, W TODD","Republican",2012,"REPUBLICAN","IA",9600
"AKIN, W TODD","Republican",2012,"REPUBLICAN","ID",3150
"AKIN, W TODD","Republican",2012,"REPUBLICAN","IL",128290
"AKIN, W TODD","Republican",2012,"REPUBLICAN","IN",17008
"AKIN, W TODD","Republican",2012,"REPUBLICAN","KS",35637
"AKIN, W TODD","Republican",2012,"REPUBLICAN","KY",13558
"AKIN, W TODD","Republican",2012,"REPUBLICAN","LA",24216
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MA",9971
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MD",22226
"AKIN, W TODD","Republican",2012,"REPUBLICAN","ME",2699
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MI",11604
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MN",18126
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MO",2183035.38
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MS",7835
"AKIN, W TODD","Republican",2012,"REPUBLICAN","MT",7066
