"Candidate_Entity.id","Candidate","Num_of_Records","Total_dollar"
21642,"HARRIS, KAMALA D",17787,14264523.35
21952,"BOWEN, DEBRA",619,461566.06
21957,"GOLNIK, JONATHAN A",705,649871.01
22070,"HALL III, ISADORE",1028,1392316.94
22511,"BASS, KAREN R",2763,3259798.48
22592,"THOMPSON, GERALDINE F",183,187954.92
23268,"KUIPERS, WAYNE D",293,232223
23377,"LAWSON, ALFRED",1589,1390338.52
23709,"ROBERSON, YOLLY",136,321529.97
24686,"DESAULNIER, MARK",1277,1209811.77
24848,"NEGRETE-MCLEOD, GLORIA",364,304407.99
25118,"ROSES, GLORIA ROMERO",226,589070.49
26294,"FEINSTEIN, DIANNE",7257,7827120.37
26696,"KASPEROWICZ, RAYMOND",29,19687.66
26769,"SULLIVAN, MICHAEL J",348,395827.25
28456,"MALDONADO, ABEL",1490,1938124.08
28570,"METTLER, KENNETH L",25,40965.12
28854,"HASTERT, ETHAN A",575,585754.05
29180,"PETERS, ALVIN L",83,123048.58
30614,"IVERSON, WAYNE L",111,112275
31442,"VEREEN, RODERICK D",157,118926.71
31606,"BLOOMFIELD JR, WILLIAM E (BILL)",414,11653344
33151,"KLEIN, RON",3062,3750340.54
36558,"SCHONBERG, STEVE",1,11061
36943,"OLVER, JOHN W",999,860348.04
39311,"STOPA, MICHAEL P",20,13878.01
42293,"LAMB, MARTIN A",150,120736.51
44235,"HERR, BRIAN J",319,202905.72
52333,"LYNCH, JOHN J",14,17751.3
53775,"LONG, TODD",338,405434.05
54180,"COOPER, WILLIAM C",119,310377.76
54848,"RIEMERSMA, JAY A",570,870955.98
55720,"HOEKSTRA, PETER",7456,5768360.72
58979,"GARCIA, TOM",56,67102.03
60008,"CONLON, GREG",69,90597.71
61054,"ISSA, DARRELL E",9667,10259642.73
61411,"ROLLINS, MICHELE M",764,794465.05
61549,"SANSARICQ, BERNARD",180,105715.81
67019,"VOLARIC, DON",167,109208.34
69035,"DEMINGS, VAL",4879,3410135.74
70778,"TANZLER III, HANS G",345,813784.68
73307,"HALL, HEIDI",706,229132.38
76410,"DIEBEL, KAREN",620,464781.24
79401,"MITCHELL III, PAUL",22,12795.99
89871,"GILLESPIE, ED",5687,8019250.13
89991,"CONNIE, MACK",7457,8476559.75
90116,"DRISKELL, GRETCHEN D",7380,2554189.05
102086,"STEELE, ROBERT L",1320,1053532.03
112965,"BROWN, SCOTT P",83311,55788499.39
114865,"FOX, TOM",14,13500
115559,"DOMINO, CARL J",457,1219775.31
117671,"DUNN, NEAL PATRICK",1441,2218213.89
118530,"WINSLOW, DANIEL B",433,613153
126720,"BROUILLET, CAROL",16,13338
135603,"KONETCHY, PETER D",47,34466.6
136587,"BOAL, ELLIS",0,0
137570,"AYOTTE, KELLY A",24526,22078177.21
141328,"MOSHER, NATALIE",543,277893.7
144736,"HOEVEN III, JOHN HENRY",5673,7190249.21
145575,"TAITZ, ORLY",14,32325.04
147199,"MILES JR, PATRICK A",1066,984370.97
149964,"SINK, ADELAIDE (ALEX)",3916,1911296.5
153861,"FORLINI, ANTHONY G",119,112242.21
163836,"DEFRANCO, MARISA A",157,84691.78
165592,"ROONEY, BRIAN JOHN",481,730225.29
165967,"TIERNEY, JOHN F",7536,4943057.17
167851,"HOBBS, RUDY",918,655455.66
174919,"MONTIE, PAULINE",0,0
176517,"YANEZ, HENRY J",0,0
177308,"MCGURN, KENNETH RANDOL",1229,564879.07
184791,"SLEZAK, JAMES",42,57720.37
187310,"CHERNY, ANDREI",1514,1046272.82
192676,"ORMAN, GREGORY J",1518,4670206.5
193251,"TREADWELL, LOUIS MEAD (MEAD)",1534,996326.83
193281,"MILLER, JONATHAN",189,20672.17
196636,"CARLSON, MARVIN E",23,42179.57
196708,"MACARTHUR, THOMAS C (TOM)",2391,4650141.35
198924,"SOTO, DARREN MICHAEL",1434,1185765.4
200642,"WALBERG, TIMOTHY L",9662,7426485.99
207274,"MARQUEZ, RUBEN",5,5765.12
207336,"WILSON, FREDRICK P",47,70985.39
209468,"HUEY, CRAIG",298,1387931.89
210204,"CRUZ, RAFAEL EDWARD (TED)",19585,13068092.07
213474,"BURKE, BUDDY",35,17904.03
217832,"KOSMAS, SUZANNE",2553,2283448.77
220178,"GOLDEN, JAMES T",220,133015.8
230614,"GOEHRING, BRAD R",522,551312.11
232157,"BENTIVOLIO, KERRY LYNN",896,1186854.96
235599,"HUDAK, WILLIAM",1112,814568.24
245981,"OSE, DOUGLAS A",1800,3391413.47
247954,"GOODRICH, ROBERT EMMETT",52,327689
252193,"DINGELL, DEBBIE",2252,2386305.88
252260,"NUCIFORO JR, ANDREA F",418,302447.96
255005,"MCMILLIN, THOMAS",222,228212.49
258189,"LAWRENCE, JAMES (JIM)",84,86591.61
263643,"WILKERSON, CHARLES EDWARD",256,361908.52
267567,"CHILDS, ELIZABETH",275,174759.56
273356,"HALLIWELL, MICHAEL",0,0
276535,"ANDERSON, GLENN S",321,214496.25
279239,"KIRKLAND, RONALD H",860,1046303.79
290219,"SHEFFIELD, HORACE",26,16305
296185,"OCEGUERA, JOHN",1569,1155149.22
301691,"LAWRENCE, BRENDA",1622,1768625.83
309028,"GLENN, GARY R",272,185057.44
313222,"CLARKE, HANSEN H",1674,1516233.25
318345,"BARICH, DON",17,14072.75
319646,"GOYLE, RAJ",3297,1886468.77
323583,"MURPHY, PATRICK E",30693,24124924.78
324715,"MESSINGER, LESLI RAE",6,104950
330788,"VIDAK, JAMES ANDREW (ANDY)",1157,988949.83
331199,"MCCARTHY, KEVIN",9059,20213731.49
334894,"SITTENFELD, P G",2539,1362523.81
336788,"KOKKONEN, MATT T",18,76188.64
339835,"BONAMICI, SUZANNE",5101,4662709.16
342623,"WELDAY, PAUL F",532,515611.27
343367,"FRANCISCO, DALE",151,147480
351761,"BIELAT, SEAN",3423,3473744.57
357618,"TONG, WILLIAM M",1176,949187.06
363232,"PETERS, GARY",23601,16192691.88
364331,"AUBUCHON, GARY",509,591556.44
364479,"CURBELO, CARLOS LUIS",4544,6204523.63
369166,"SHERMAN, BRAD",5482,7020517.69
373494,"KHANNA, ROHIT",3315,5105465.71
373538,"WHITEHOUSE, SHELDON",5730,5902597.41
375835,"STEIN, GARY",0,0
376005,"CAMP, DAVE",4834,7451580.97
376601,"WENKE, LORENCE",0,0
378259,"MIKKELSON, HARLEY G",0,0
388677,"KATZ, HOWARD",47,15176.8
390709,"ROYCE SR, EDWARD D",9701,12159682.12
395949,"DEMBROWSKI, GERRY",70,78020.31
414851,"CHAPMAN, JOHN C",606,569676.7
422681,"BOUSTANY JR, CHARLES W",11201,13468431.88
428486,"ATWOOD, FRANK F",0,0
428996,"AYRES, DARREN",13,42634.22
430401,"MONCHIL, RUSS LEE",0,0
438438,"NETHERWOOD, RAYMOND",13,32591.79
