Candidate_Entity.id,Candidate,Num_of_Records,Total_dollar
43520851,"ALLISON, JOY",0,0
43063893,"WILLOUGHBY, DON",0,0
42845966,"KELLY, JON",0,0
42845965,"MALONE, NATHANIEL (NATE)",0,0
42845964,"WALLACE, STEVEN",0,0
42845963,"MORGAN, THOMAS",0,0
42845962,"LEE, PATRICK",8,11222.7
42845951,"BUFE, GINA",0,0
42844964,"DORSEY, GREG",0,0
42844963,"ROBINSON, BOB",0,0
42844962,"BINKINS, JEFFREY",0,0
42822921,"LOPEZ, SELENA",2,800
42822920,"CLARK, LEONARD",0,0
42822919,"CHAVEZ, SANTOS",0,0
42822918,"CAMBONI, ANTHONY",0,0
42822917,"DUDIKOFF, SYDNEY",0,0
42822916,"SCOTT II, GENE",0,0
42822915,"BILYEU, SHEILA",0,0
42822677,"CLIFFORD, EDWARD T III",0,0
42822659,"LEWALLEN, SHANTI S",11,8758
42822658,"LINDSAY, JIM",0,0
42822657,"NAVICKAS, ERIC",0,0
42579695,"GERMALIC, JAMES",0,0
42430807,"CONNORS, TOM",28,1615.94
42157104,"SWING, GARY",0,0
42157102,"QUINN, PAT",4,5650
42135672,"BAYH, EVAN",2439,3579286.36
42115263,"MCFARLAND, JOHNATHAN",0,0
42113345,"TRUDELL, JERRY",0,0
42061945,"MERCED, ALEX",19,7903.39
42055740,"CRAIG, BRECK A",0,0
42055739,"STOCK, MARGARET",975,669941.34
42055044,"BRENTON, LUCY",2,1098.13
41884210,"GARRARD, ROBERT D",0,0
41875709,"CHABOT, BRIAN",0,0
41875707,"DAY, AARON",0,0
41806573,"ZIMMERMAN, SPENCER",0,0
41759200,"SCARBOROUGH, MICHAEL",0,0
41759097,"DIXON, THOMAS A",242,36390.03
41759067,"BLEDSOE, WILLIAM D",1,2180
41757685,"MENCONI, ARN",2,1751.54
41757684,"WILLIAMS, LILY TANG",16,8059.4
41757666,"EMANUEL, STANLEY MICHAEL",0,0
41757664,"HASSAN, MAGGIE",19759,11687899.57
41742886,"LUICK-THRAMS, MICHAEL",10,6262
41742885,"ALDRICH, CHARLES",0,0
41680294,"RODGERS, EMORY",3,85
41680292,"MUNROE, MASSIE",5,11003.48
41680291,"GRAPPO, PRESIDENT CRISTINA",0,0
41676928,"YOUNG, DWIGHT MARK ANTHONY",9,20328.22
41676926,"WALLS-WINDHAUSER, ANGELA MARIE",0,0
41676925,"TOLBERT, CHARLES FREDERICK",0,0
41676924,"STANTON, PAUL",37,22071.33
41676922,"RIVERA, ERNIE",22,-167796.84
41676920,"PATRICK, BRADLEY J",0,0
41676919,"NATHAN, BRUCE",23,9937
41676917,"MACHAT, STEVEN",7,5501
41676912,"KAPLAN, ROBERT SAMUEL",0,0
41676911,"INVICTUS, AUGUSTUS",16,11118.07
41676908,"DALACK, BASIL E",7,5220
41676906,"BERUFF, CARLOS",233,8495660.87
41591411,"BUCKLEY, ALLEN",133,30241
41316531,"TAYLOR JR, GREGORY",0,0
41316529,"PATEL, ABHAY",152,305595
41316528,"MENDOZA, MV (VINNY)",0,0
41316526,"MARONE, KAITLIN",0,0
41316523,"KENNEDY, JOHN",1857,3217545.29
41316522,"GILLAM, LE ROY",0,0
41316510,"EDWARDS, DERRICK",12,14887.46
41316507,"DUKE, DAVID",78,122977.45
41316506,"CRAWFORD, DONALD (CRAWDADDY)",3,8075
41316502,"CAO, JOSEPH",0,0
41316501,"BILLIOT, BERYL",5,4400
40889085,"CHAPIN, DAN",0,0
40889084,"FIORINO, PAUL NOEL",0,0
40650528,"CARTER, DAN",203,244782.28
40626254,"MARQUETTE, ROBERT N",0,0
40622491,"GOTTSCHALK, KARLA (BART)",0,0
40622438,"HONEYCHURCH, TUTZ",0,0
40622437,"CHRISTENSEN, MAKANI",64,30276.14
40622373,"GIUFFRE, JOHN M (RAGHU)",0,0
40621980,"LOCHNER, BOB",6,-2560
40621979,"LAMB, THOMAS",0,0
40621978,"KENDALL, PAUL",0,0
40609579,"HARBACH, SCOTT",0,0
40609578,"ANDERSON, PHILLIP N",3,9530
40609524,"SMITH, DJ",2,1820
40609523,"SINGH, MONIQUE",0,0
40588960,"STUART, ALEXIS",0,0
40588959,"FALLING, BILLY",0,0
40588958,"LLEWELLYN, RIC M",0,0
40587689,"TSIMERMAN, ALEX",0,0
40587688,"TEUTON, JEREMY",0,0
40587687,"NAZARINO, SCOTT",75,11175.43
40587686,"MOVER, UNCLE",0,0
40587685,"MAKUS, ERIC JOHN",0,0
40587684,"LUKE, MIKE",0,0
40587683,"LANDS, DONNA RAE",0,0
40587682,"JACKSON, CHUCK",0,0
40587681,"HALLER, ZACH",0,0
40587680,"CUMMINGS, TED",8,3654.17
40587679,"CORNELL, PHILIP L",16,10007.62
40587678,"CHURCHILL, PANO",0,0
40587677,"AMUNDSON, THOR",0,0
40461456,"GLENN, DARRYL",11327,3006369.26
40461436,"ELLER, JERRY",0,0
39833727,"SULLIVAN, DANIEL SCOTT",5011,6822835.41
39828190,"BRADDY, SEAN",7,8269.32
39827673,"WILLIAMS, JARROD M",9,901.75
39827647,"TARBELL, BILL",2,1513.75
39827622,"SAWYER, THOMAS (TOM)",0,0
39827611,"RHEINHART, ALLEN",0,0
39827605,"PREBLE, JUSTON J",0,0
39827590,"OBRIANT, LIDDO SUSAN",0,0
39827562,"MAHENDRA, BOBBY",2,25006
39827553,"LEEDS, ROBERT X",0,0
39827538,"JONES, TOM",2,2215
39827519,"HECK, THOMAS (SAD TOM)",0,0
39827512,"HAMILTON, EDDIE",0,0
39827506,"GUMINA, TONY",47,29907
39827467,"DAVIS, DNESE",0,0
39826819,"WILSON, ROBIN LAVERNE",8,3272.93
39826818,"LONG, WENDY",12,16189.9
39715864,"VO, JADE TUAN QUOC",0,0
39715863,"SWINTON, JONATHAN",27,25389.99
39715862,"SNOW, MISTY KATHERINE",54,64492.29
39715858,"FONUA, STONEY",0,0
39707185,"VINEBERG, SCOTT A",2,0
39707184,"SHI, LING LING",0,0
39707183,"MYERS, GAR",2,600
39707182,"KRAUS, JASON",0,0
39707181,"HANANIA, JASON",0,0
39707180,"GREY, CLIVE",9,4100
39707179,"GILDERSLEEVE, TIM",0,0
39707178,"GARCIA, ELEANOR",0,0
39707177,"BEITIKS, MIKE",7,5634.54
39707176,"PARKER, JOHN THOMPSON",0,0
39707174,"HERD, MARK MATTHEW",0,0
39707173,"YANG, GEORGE C",0,0
39707172,"WYMAN, PHIL",9,23900
39707171,"WILLIAMSON, JARRELL",0,0
39707169,"ROSEBERRY, KAREN",1,910
39707168,"PALZER, TOM",50,8069.47
39707167,"KRAMPE, DON",0,0
39707166,"HOUGO, VON",0,0
39707165,"DEL BECARO, THOMAS G",626,402175.51
39656838,"RYMAN, FRED",0,0
39656836,"LUETHY, RYAN D",0,0
39656833,"MACK, ROBERT",0,0
39656831,"BUSH, CORI",2,1000
39656830,"DUBIE, CHIEF WANA",0,0
39565386,"GRAHAM, JOHN C (JACK)",379,2393397.85
39525364,"COYNE III, JOHN F",5,5835.23
39525361,"COPELAND, CHERYL",10,11011.72
39494799,"WILDER, SELLUS",62,68874.85
39494781,"SLAUGHTER, STEPHEN HOWARD",0,0
39494775,"SHORT, GRANT T",0,0
39494760,"RECKTENWALD, TOM",0,0
39494735,"KENDER, JEFF",9,5201.13
39494729,"HOULIHAN, RORY",0,0
39494721,"GOULD, JAMES R",0,0
39441673,"STURGILL, STEPHEN JERRY (JERRY)",423,735079.43
39434623,"FETTERMAN, JOHN",1183,758872.99
39434622,"VODVARKA, JOSEPH J",8,27627.41
39434592,"STINE, KEVIN H",12,6735.9
39434591,"SANDNES, MARVIN",0,0
39434590,"LASCHOBER, DAN",20,12163.97
39434589,"CALLAHAN, MARK",44,29998.64
38601936,"TINUS, ED",0,0
38601935,"DICKSON JR, FREDDIE DONALD",0,0
38601934,"RICHARDSON, LYNN",0,0
38601932,"FLOWERS, MARGARET",113,64303.49
38601931,"KEFALAS, CHRYS",389,273938.85
38601929,"YARRINGTON, GARRY THOMAS",0,0
38601927,"MCNICHOLAS, MARK",0,0
38601924,"CONNOR, SEAN P",0,0
38601922,"STALEY, VIOLET",4,450
38601918,"DOUGLAS, RICHARD J",38,21426.11
38601917,"SEDA, ANTHONY",0,0
38541289,"KEITH, PAM",353,212185.22
38525842,"HILL, BARON",1776,1332082.1
38445583,"WRIGHT, PAUL MICHAEL",0,0
38445480,"REY, CHRISTIA VIRDELLE (CHRIS)",78,47374.04
38445347,"HOLMQUIST, LARRY HOWARD",20,8935
38445332,"HAUGH, SEAN NEWTON",4,2089
38445312,"GRIFFIN, KEVIN DAY",20,62890
38444974,"MARTER, JAMES T",57,47662.76
37971487,"ELDRIDGE JR, CONNER E",1844,1561838.4
37971486,"GILBERT, FRANK",30,8157.92
37970539,"DEMARE, JOSEPH R",0,0
37970538,"ECKHART, DON ELIJAH",0,0
37970534,"PRATHER, KELLI",1,150.5
37970278,"MCGILL, SHADRACK",0,0
37970277,"MCCONNELL, JONATHAN",543,632387.18
37970276,"MARTIN, JOHN",4,5744.38
37970275,"BOWMAN, MARCUS",6,3154
37970038,"NANA, CHARLES",0,0
37970036,"CRUMPTON, RON",142,33443.3
37348840,"KENNEDY, JOSEPH",88,38915.8
34373272,"WEAVER, PAUL B",0,0
29172327,"BLATCHFORD, EDGAR",0,0
28170351,"MELUSKEY, ALEXANDER",141,869652.4
26784521,"SANCHEZ, EMILY (SPICYBROWN)",0,0
26784520,"PADDOCK, REBECCA",0,0
26783554,"STUBENROD, DERIL V",0,0
26783553,"LYONS, CHRISTOPHER A",0,0
26783209,"BUCKLEY, JOHN SMALLPAGE",22,13724
26782883,"MONTCHALIN, MITCHELL L",0,0
26780774,"TAHIRO, MOHAMMED",0,0
26776336,"RANSDELL, ROBERT EDWARD",0,0
26776328,"MAGGARD, MIKE",0,0
26776157,"PATTERSON, DAVID M",0,0
26770189,"SWAFFORD, AMANDA C",38,21230.07
26765290,"GOTTSHALL, CURT E",8,24318.41
26765289,"PORAMBO, JOSEPH S",0,0
26765037,"CUNNINGHAM, KATHLEEN ROSEWATER",0,0
26765036,WILLOUGHBY,0,0
26765035,"SHOGAN, STEVE",98,97601
26765034,"HAMMONS, WILLIAM ROBERT (BILL)",0,0
26765034,"HAMMONS, WILLIAM ROBERT (BILL)",0,0
26765033,"ACOSTA, RAUL",0,0
26761354,"HENNAGER, JIM",0,0
26751869,"QUAST, BOB",0,0
26751868,"STEWART, RICK",0,0
26703538,"CARPENTER, SAM",24,54449.5
26579514,"BOSSI, JILL",67,15390
26434380,"WATSON, TODD F",38,-73051.42
26395847,"CLEMENTS, THOMAS",0,0
26395847,"CLEMENTS, THOMAS",0,0
26395846,"MCMORRIS, BRANNON LEE",17,1540
26395845,"WAYMIRE JR, WILLIAM P",0,0
26395844,"SENEGAL, VALLIAN",0,0
26395841,"ABLES, WAYNE",2,12625.19
26394974,"BARATELLI, JOSEPH",0,0
26180882,"GRAYSON, DERRICK",0,0
25817658,"BUTZIER, DOUGLAS",0,0
25761345,"WAHMHOFF, CHRIS",0,0
25090976,"HOOE, JOSEPH DAVID",7,5320.35
25005373,"SMITH, BOB",710,575821.26
25005371,"MARTIN, ANDY",0,0
25005370,"KELLY, WALTER W",0,0
25005369,"HEGHMANN, BOB",0,0
25005368,"FARNHAM, MARK W",0,0
25005366,"DARCY, ROBERT",0,0
25005364,"BELOIN, GERARD",0,0
25005364,"BELOIN, GERARD",0,0
